Depositos;123;1000.0;2024-04-18T12:37:34.164137100;0;
Depositos;123;100.0;2024-04-18T12:37:59.953227;1;
Saques;123;-100.0;2024-04-18T12:40:21.772900700;2;
Saques;123;-100.0;2024-04-18T12:41:36.281558500;3;
Saques;123;-1900.0;2024-04-18T12:41:50.791345800;4;
Saques;123;-500.0;2024-04-18T12:42:37.959637400;5;
Depositos;123;500.0;2024-04-18T12:42:54.287842700;6;
Depositos;123;100.1;2024-04-18T12:43:52.751630600;7;
Depositos;123;100.1;2024-04-18T12:44:25.159268500;8;
Depositos;123;100.0;2024-04-18T12:44:35.391688600;9;
Depositos;123;100.0;2024-04-18T12:44:44.594570;10;
